Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Amytornis modestus,Thick-billed Grasswren,Vulnerable,Amytornis modestus,16-Jul-00,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Amytornis modestus obscurior,6-Nov-14,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Amytornis textilis myall,6-Nov-14,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Amytornis woodwardi,6-Nov-14,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis
Andersonia annelsii, ,Critically Endangered,Andersonia annelsii,11-May-18,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Andersonia
Andersonia axilliflora,Giant Andersonia,Endangered,Andersonia axilliflora,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,Andersonia
Andersonia gracilis,Slender Andersonia,Endangered,Andersonia gracilis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,Andersonia
Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Andersonia pinaster,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,Andersonia
Androcalva adenothalia, ,Critically Endangered,Androcalva adenothalia,4-Jul-19,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Androcalva
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Androcalva bivillosa,11-May-18,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Androcalva
Androcalva perlaria,Pearl-like Androcalva,Endangered,Androcalva perlaria,4-Jul-19,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Androcalva
Androcalva procumbens, ,Vulnerable,Androcalva procumbens,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Androcalva
Androcalva rosea,Sandy Hollow Commersonia,Endangered,Androcalva rosea,8-Jan-08,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Androcalva
Angianthus phyllocalymmeus,Silver Candles,Vulnerable,Pleuropappus phyllocalymmeus,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Angianthus
Angophora inopina,Charmhaven Apple,Vulnerable,Angophora inopina,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Angophora
Angophora robur,Sandstone Rough-barked Apple,Vulnerable,Angophora robur,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,Angophora
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Anigozanthos bicolor subsp. minor,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae,Anigozanthos
